Build Number,Version,Build Date,Build Time,API Version,Build Hash
1393597517,3.0.14,28 Feb 2014,14:25:17,?,?
1394114560,3.0.14,06 Mar 2014,14:02:40,?,?
1394624943,3.0.14,14 Mar 2014,11:49:03,20,F0WIO9sBVzG893AtX2Jfd98cH6yZPAnfMBNvBlQbAIfvfyiq+cbjZ31AUngEjq7UPIYdnYSsdRX9hczwdBrKAQ==
1401808190,3.0.15,03 Jul 2014,15:09:50,?,?
1402646489,3.0.15,13 Jul 2014,08:01:29,?,?
1403250090,3.0.15,20 Jul 2014,07:41:30,?,?
1405341090,3.0.15,23 Jun 2014,??:??:??,20,FKKAHPwV1swKwH6mqHqdcGuYm8o5mZw4WreBxJrQjOprC3NXXcJviPe0p7EZPI810HOWMfmQRUgFpggoRL8kAQ==
1405341092,3.0.15.1,24 Jul 2014,12:31:32,20,b+hr0KQWOVW2WEn49BmNb08R9zimsJcThm2gEeF7EAgRUeUDYzeplh5HrHmda0ftbbnrzWV33U/GOo2LAs/rAg==
1406898538,3.0.16,01 Aug 2014,13:08:58,?,?
1407159763,3.0.16,08 Aug 2014,13:42:43,20,Y1DuQGXo/8/rYznEGyeQHgpvZMuiCH4FYm4QVyAgLYyMpNpc/LM7XetVWhDQxGsNejkN/2olI7GVJkt4X+ooDg==
1437491062,3.0.17,21 Jun 2015,15:04:22,?,?
1437730067,3.0.17,24 Jun 2015,09:27:47,?,?
1438246387,3.0.17,30 Jun 2015,08:53:07,?,?
1438673913,3.0.17,04 Aug 2015,07:38:33,20,znDjHvCgmQF/jQKTK49X8tnXqF7AGXfS2XYcogww4XxNTBxp2tf1aFc/jgboKco9EuVa0ku2cf/xg9wW3Cm7AQ==
1441371697,3.0.18,04 Sep 2015,13:01:37,?,?
1442498553,3.0.18,17 Sep 2015,14:02:33,?,?
1442913547,3.0.18,22 Sep 2015,09:19:07,?,?
1442998335,3.0.18,23 Sep 2015,08:52:15,20,7uMCLHsNLl9pqL8m7foMBh4qsQZQ84eumhqWW7+A75WbQWFfN9XQ0f2UUEMzDQxbbLwWFuIO8XkzI90LbLG+Aw==
1444491275,3.0.18.1,10 Oct 2015,15:34:35,20,xqfa3CUd2GFiTqjJWYzcu9ZbxVVLng8qIMKlVxMqWdiM8JrTRiXBAaTBDd8Xc+flVe+rGSIOZTkXRsz1rqjiAA==
1445263695,3.0.19,19 Oct 2015,14:08:15,?,?
1445270895,3.0.19,19 Oct 2015,??:??:??,20,z2CS87ly6Z6AHMVfs4UjhL+xobHbr/QcjjvudTL7mfrfSwe4Bm0pBaoWw+xlo8Qvtkk1OQeYjZxwUXJOJJ1wDQ==
1445498088,3.0.18.2,22 Oct 2015,??:??:??,20,F0hY25Dtja0wcU6dzC39rNuYbhnDAbIwPHC3VO9Oicf13kUY2I2g6scPZ3p195Cw9gUYdBIRYm8ucHEhtSeWCw==
1445512488,3.0.18.2,22 Oct 2015,11:14:48,?,?
